{'temp': '23.53C', 'corrente': -16.05, 'gps': [-22.81415, -47.02084, 1749756755], 'umid': '0.00%', 'v_bus': 4.16875, 'potencia': -66.90843}
{'temp': '23.51C', 'corrente': -18.5, 'gps': [-22.81415, -47.02084, 1749756755], 'umid': '0.00%', 'v_bus': 4.17, 'potencia': -77.145}
{'temp': '23.49C', 'corrente': -24.75, 'gps': [-22.81415, -47.02085, 1749756775], 'umid': '0.00%', 'v_bus': 4.16875, 'potencia': -103.1766}
{'temp': '23.46C', 'corrente': -22.6, 'gps': [-22.81417, -47.02084, 1749756785], 'umid': '0.00%', 'v_bus': 4.16875, 'potencia': -94.21374}
{'temp': '23.53C', 'corrente': -20.2, 'gps': [-22.81417, -47.02084, 1749756785], 'umid': '0.00%', 'v_bus': 4.1675, 'potencia': -84.18349}
{'temp': '23.51C', 'corrente': -22.25, 'gps': [-22.81417, -47.02084, 1749756785], 'umid': '0.00%', 'v_bus': 4.16875, 'potencia': -92.75468}
{'temp': '23.51C', 'corrente': -26.175, 'gps': [-22.81417, -47.02084, 1749756785], 'umid': '0.00%', 'v_bus': 4.16875, 'potencia': -109.117}
{'temp': '23.50C', 'corrente': -24.875, 'gps': [-22.81418, -47.02084, 1749756790], 'umid': '0.00%', 'v_bus': 4.1675, 'potencia': -103.6666}
{'temp': '23.50C', 'corrente': -18.375, 'gps': [-22.81418, -47.02084, 1749756790], 'umid': '0.00%', 'v_bus': 4.16875, 'potencia': -76.60078}
{'temp': '23.53C', 'corrente': -17.475, 'gps': [-22.81419, -47.02084, 1749756800], 'umid': '0.00%', 'v_bus': 4.1675, 'potencia': -72.82706}
{'temp': '23.54C', 'corrente': -20.35, 'gps': [-22.81422, -47.02082, 1749756810], 'umid': '0.00%', 'v_bus': 4.1675, 'potencia': -84.80862}
{'temp': '23.53C', 'corrente': -18.025, 'gps': [-22.81424, -47.02081, 1749756821], 'umid': '0.00%', 'v_bus': 4.16875, 'potencia': -75.14172}
{'temp': '23.53C', 'corrente': -26.575, 'gps': [-22.81424, -47.02081, 1749756821], 'umid': '0.00%', 'v_bus': 4.1675, 'potencia': -110.7513}
